order_item_id,so_number,item_number,product_id,product_name,category,quantity,unit,unit_price,discount_pct,line_total
SO-4500000-01,SO-4500000,0010,MAT008,TP-Link WiFi 6 Router,Networking,4,EA,12000,10,43200.0
SO-4500000-02,SO-4500000,0020,MAT005,"Samsung 27"" 4K Monitor",Monitors,3,EA,28000,10,75600.0
SO-4500001-01,SO-4500001,0010,MAT008,TP-Link WiFi 6 Router,Networking,20,EA,12000,0,240000.0
SO-4500001-02,SO-4500001,0020,MAT017,Dell OptiPlex 5000 Desktop,Desktops,18,EA,48000,2,846720.0
SO-4500002-01,SO-4500002,0010,MAT009,HP LaserJet Pro M404dn,Printers,9,EA,22000,2,194040.0
SO-4500002-02,SO-4500002,0020,MAT001,Dell Latitude 5540 Laptop,Laptops,7,EA,72000,5,478800.0
SO-4500002-03,SO-4500002,0030,MAT006,"LG 24"" Full HD Monitor",Monitors,4,EA,14000,0,56000.0
SO-4500002-04,SO-4500002,0040,MAT014,Logitech MX Master 3 Mouse,Peripherals,13,EA,4200,0,54600.0
SO-4500002-05,SO-4500002,0050,MAT011,Seagate 4TB External HDD,Storage,12,EA,7500,5,85500.0
SO-4500003-01,SO-4500003,0010,MAT018,Jabra Evolve2 Headset,Peripherals,18,EA,8500,5,145350.0
SO-4500003-02,SO-4500003,0020,MAT004,Apple MacBook Air M2,Laptops,20,EA,114000,5,2166000.0
SO-4500003-03,SO-4500003,0030,MAT013,APC 1500VA UPS,Power,19,EA,18000,2,335160.0
SO-4500003-04,SO-4500003,0040,MAT003,Lenovo ThinkPad E14,Laptops,3,EA,68000,0,204000.0
SO-4500004-01,SO-4500004,0010,MAT008,TP-Link WiFi 6 Router,Networking,4,EA,12000,8,44160.0
SO-4500005-01,SO-4500005,0010,MAT006,"LG 24"" Full HD Monitor",Monitors,7,EA,14000,5,93100.0
SO-4500005-02,SO-4500005,0020,MAT012,Samsung 1TB NVMe SSD,Storage,3,EA,9500,10,25650.0
SO-4500005-03,SO-4500005,0030,MAT019,D-Link 24-Port Patch Panel,Networking,6,EA,5500,10,29700.0
SO-4500006-01,SO-4500006,0010,MAT018,Jabra Evolve2 Headset,Peripherals,2,EA,8500,2,16660.0
SO-4500006-02,SO-4500006,0020,MAT008,TP-Link WiFi 6 Router,Networking,2,EA,12000,5,22800.0
SO-4500006-03,SO-4500006,0030,MAT011,Seagate 4TB External HDD,Storage,13,EA,7500,5,92625.0
SO-4500007-01,SO-4500007,0010,MAT011,Seagate 4TB External HDD,Storage,5,EA,7500,5,35625.0
SO-4500007-02,SO-4500007,0020,MAT007,Cisco Catalyst 2960 Switch,Networking,5,EA,45000,2,220500.0
SO-4500007-03,SO-4500007,0030,MAT016,Lenovo ThinkCentre Desktop,Desktops,18,EA,52000,10,842400.0
SO-4500007-04,SO-4500007,0040,MAT013,APC 1500VA UPS,Power,9,EA,18000,10,145800.0
SO-4500007-05,SO-4500007,0050,MAT015,Corsair Mechanical Keyboard,Peripherals,14,EA,6500,10,81900.0
SO-4500008-01,SO-4500008,0010,MAT017,Dell OptiPlex 5000 Desktop,Desktops,3,EA,48000,0,144000.0
SO-4500008-02,SO-4500008,0020,MAT016,Lenovo ThinkCentre Desktop,Desktops,4,EA,52000,2,203840.0
SO-4500009-01,SO-4500009,0010,MAT003,Lenovo ThinkPad E14,Laptops,18,EA,68000,0,1224000.0
SO-4500009-02,SO-4500009,0020,MAT013,APC 1500VA UPS,Power,4,EA,18000,10,64800.0
SO-4500009-03,SO-4500009,0030,MAT019,D-Link 24-Port Patch Panel,Networking,9,EA,5500,5,47025.0
SO-4500009-04,SO-4500009,0040,MAT015,Corsair Mechanical Keyboard,Peripherals,4,EA,6500,5,24700.0
SO-4500009-05,SO-4500009,0050,MAT009,HP LaserJet Pro M404dn,Printers,14,EA,22000,2,301840.0
SO-4500010-01,SO-4500010,0010,MAT017,Dell OptiPlex 5000 Desktop,Desktops,4,EA,48000,5,182400.0
SO-4500010-02,SO-4500010,0020,MAT006,"LG 24"" Full HD Monitor",Monitors,17,EA,14000,10,214200.0
SO-4500010-03,SO-4500010,0030,MAT020,Microsoft Office 365 (1 Year),Software,7,LIC,4200,2,28812.0
SO-4500011-01,SO-4500011,0010,MAT001,Dell Latitude 5540 Laptop,Laptops,12,EA,72000,5,820800.0
SO-4500011-02,SO-4500011,0020,MAT011,Seagate 4TB External HDD,Storage,8,EA,7500,0,60000.0
SO-4500011-03,SO-4500011,0030,MAT016,Lenovo ThinkCentre Desktop,Desktops,8,EA,52000,10,374400.0
SO-4500011-04,SO-4500011,0040,MAT020,Microsoft Office 365 (1 Year),Software,3,LIC,4200,0,12600.0
SO-4500011-05,SO-4500011,0050,MAT004,Apple MacBook Air M2,Laptops,16,EA,114000,0,1824000.0
SO-4500012-01,SO-4500012,0010,MAT018,Jabra Evolve2 Headset,Peripherals,20,EA,8500,8,156400.0
SO-4500012-02,SO-4500012,0020,MAT006,"LG 24"" Full HD Monitor",Monitors,7,EA,14000,10,88200.0
SO-4500012-03,SO-4500012,0030,MAT009,HP LaserJet Pro M404dn,Printers,7,EA,22000,5,146300.0
SO-4500012-04,SO-4500012,0040,MAT017,Dell OptiPlex 5000 Desktop,Desktops,13,EA,48000,5,592800.0
SO-4500013-01,SO-4500013,0010,MAT008,TP-Link WiFi 6 Router,Networking,11,EA,12000,0,132000.0
SO-4500013-02,SO-4500013,0020,MAT003,Lenovo ThinkPad E14,Laptops,19,EA,68000,10,1162800.0
SO-4500014-01,SO-4500014,0010,MAT002,HP EliteBook 840 G10,Laptops,8,EA,85000,0,680000.0
SO-4500015-01,SO-4500015,0010,MAT008,TP-Link WiFi 6 Router,Networking,19,EA,12000,10,205200.0
SO-4500015-02,SO-4500015,0020,MAT009,HP LaserJet Pro M404dn,Printers,16,EA,22000,2,344960.0
SO-4500015-03,SO-4500015,0030,MAT016,Lenovo ThinkCentre Desktop,Desktops,16,EA,52000,8,765440.0
SO-4500015-04,SO-4500015,0040,MAT007,Cisco Catalyst 2960 Switch,Networking,7,EA,45000,0,315000.0
SO-4500015-05,SO-4500015,0050,MAT005,"Samsung 27"" 4K Monitor",Monitors,4,EA,28000,8,103040.0
SO-4500016-01,SO-4500016,0010,MAT004,Apple MacBook Air M2,Laptops,2,EA,114000,8,209760.0
SO-4500017-01,SO-4500017,0010,MAT007,Cisco Catalyst 2960 Switch,Networking,18,EA,45000,8,745200.0
SO-4500017-02,SO-4500017,0020,MAT020,Microsoft Office 365 (1 Year),Software,5,LIC,4200,8,19320.0
SO-4500018-01,SO-4500018,0010,MAT015,Corsair Mechanical Keyboard,Peripherals,18,EA,6500,0,117000.0
SO-4500019-01,SO-4500019,0010,MAT003,Lenovo ThinkPad E14,Laptops,8,EA,68000,2,533120.0
SO-4500020-01,SO-4500020,0010,MAT002,HP EliteBook 840 G10,Laptops,13,EA,85000,5,1049750.0
SO-4500020-02,SO-4500020,0020,MAT006,"LG 24"" Full HD Monitor",Monitors,15,EA,14000,5,199500.0
SO-4500020-03,SO-4500020,0030,MAT013,APC 1500VA UPS,Power,14,EA,18000,10,226800.0
SO-4500020-04,SO-4500020,0040,MAT001,Dell Latitude 5540 Laptop,Laptops,16,EA,72000,2,1128960.0
SO-4500021-01,SO-4500021,0010,MAT019,D-Link 24-Port Patch Panel,Networking,18,EA,5500,0,99000.0
SO-4500022-01,SO-4500022,0010,MAT017,Dell OptiPlex 5000 Desktop,Desktops,17,EA,48000,0,816000.0
SO-4500022-02,SO-4500022,0020,MAT020,Microsoft Office 365 (1 Year),Software,6,LIC,4200,0,25200.0
SO-4500022-03,SO-4500022,0030,MAT006,"LG 24"" Full HD Monitor",Monitors,20,EA,14000,0,280000.0
SO-4500022-04,SO-4500022,0040,MAT002,HP EliteBook 840 G10,Laptops,8,EA,85000,8,625600.0
SO-4500023-01,SO-4500023,0010,MAT020,Microsoft Office 365 (1 Year),Software,9,LIC,4200,2,37044.0
SO-4500023-02,SO-4500023,0020,MAT002,HP EliteBook 840 G10,Laptops,11,EA,85000,2,916300.0
SO-4500023-03,SO-4500023,0030,MAT003,Lenovo ThinkPad E14,Laptops,9,EA,68000,8,563040.0
SO-4500023-04,SO-4500023,0040,MAT014,Logitech MX Master 3 Mouse,Peripherals,5,EA,4200,5,19950.0
SO-4500023-05,SO-4500023,0050,MAT011,Seagate 4TB External HDD,Storage,15,EA,7500,5,106875.0
SO-4500024-01,SO-4500024,0010,MAT004,Apple MacBook Air M2,Laptops,5,EA,114000,5,541500.0
SO-4500024-02,SO-4500024,0020,MAT003,Lenovo ThinkPad E14,Laptops,3,EA,68000,2,199920.0
SO-4500024-03,SO-4500024,0030,MAT018,Jabra Evolve2 Headset,Peripherals,12,EA,8500,5,96900.0
SO-4500024-04,SO-4500024,0040,MAT007,Cisco Catalyst 2960 Switch,Networking,6,EA,45000,8,248400.0
SO-4500024-05,SO-4500024,0050,MAT009,HP LaserJet Pro M404dn,Printers,18,EA,22000,5,376200.0
SO-4500025-01,SO-4500025,0010,MAT018,Jabra Evolve2 Headset,Peripherals,10,EA,8500,0,85000.0
SO-4500026-01,SO-4500026,0010,MAT018,Jabra Evolve2 Headset,Peripherals,5,EA,8500,5,40375.0
SO-4500027-01,SO-4500027,0010,MAT007,Cisco Catalyst 2960 Switch,Networking,16,EA,45000,5,684000.0
SO-4500027-02,SO-4500027,0020,MAT009,HP LaserJet Pro M404dn,Printers,2,EA,22000,0,44000.0
SO-4500027-03,SO-4500027,0030,MAT017,Dell OptiPlex 5000 Desktop,Desktops,14,EA,48000,5,638400.0
SO-4500028-01,SO-4500028,0010,MAT009,HP LaserJet Pro M404dn,Printers,15,EA,22000,10,297000.0
SO-4500028-02,SO-4500028,0020,MAT006,"LG 24"" Full HD Monitor",Monitors,14,EA,14000,10,176400.0
SO-4500029-01,SO-4500029,0010,MAT018,Jabra Evolve2 Headset,Peripherals,12,EA,8500,10,91800.0
SO-4500029-02,SO-4500029,0020,MAT002,HP EliteBook 840 G10,Laptops,18,EA,85000,2,1499400.0
SO-4500030-01,SO-4500030,0010,MAT002,HP EliteBook 840 G10,Laptops,8,EA,85000,0,680000.0
SO-4500030-02,SO-4500030,0020,MAT012,Samsung 1TB NVMe SSD,Storage,12,EA,9500,10,102600.0
SO-4500030-03,SO-4500030,0030,MAT007,Cisco Catalyst 2960 Switch,Networking,14,EA,45000,10,567000.0
SO-4500031-01,SO-4500031,0010,MAT014,Logitech MX Master 3 Mouse,Peripherals,6,EA,4200,5,23940.0
SO-4500031-02,SO-4500031,0020,MAT001,Dell Latitude 5540 Laptop,Laptops,14,EA,72000,2,987840.0
SO-4500032-01,SO-4500032,0010,MAT013,APC 1500VA UPS,Power,2,EA,18000,8,33120.0
SO-4500033-01,SO-4500033,0010,MAT012,Samsung 1TB NVMe SSD,Storage,1,EA,9500,2,9310.0
